english,french
Increase in Constituents of Potential Concern (COPCs),french-070
Change in or Loss of Riperian Zone Availability,french-071
Damage or Destruction of Nests,french-072
Increase in Perching Opportunities,french-073
Increase in Bird Harvest,french-074
Increase in Disturbance,french-075
Abandonment of Nests,french-076
Mortality of Young,french-077
Increase in Energetic Costs,french-078
Inhalation and Ingestion of Constituents of Potential Concern (COPCs),french-079
Presence of pit lakes and Water Management ponds,french-080
Electrocution,french-081
"Increase in Aircraft, Vehicles and Infrastructure presence",french-082
Decrease in Water Quality,french-083
Increase in Collisions,french-084
Nest Destruction or Damage,french-085
Oil on Plumage,french-086
Change in Groundwater Quality and Quantity,french-087
Change in Surface water Quality and Quantity,french-088
Change in Soil and Water Quality,french-089
Improper Disposal of Food Waste and Petroleum Products,french-090
Change in or Loss of Riparian Zone Availability,french-091
Migratory Birds and Bird SAR,french-092
Marine Birds,french-093
Change in Composition and Structure of Forage Species,french-094
Loss or Change in Polynas,french-095
Loss of Offshore Foraging Areas,french-096
Change in Habitat Arrangement,french-097
Decrease in Population Connectivity,french-098
Loss of Nesting Areas,french-099
Increase in Collision and Stranding Risk,french-100
Increase in Energy Expenditure and Decrease in Foraging Time,french-101
"Attraction to Light, Structures, and Vessels",french-102
Decrease in Prey Abundance,french-103
Change in Foraging Behaviour,french-104
Increase in Underwater Explosions and Construction,french-105
Increase in Vessel Traffic,french-106
Increase in Ship Wake,french-107
Increase in Garbage and Plastic Pollution,french-108
Injury or Mortality from Ship Strikes,french-109
Damage or Destruction of Nesting Habitat,french-110
Ingestion or Choking,french-111
Injury or Mortality,french-112
Destruction of Nests,french-113
Improper Disposal of Vessel Wastes,french-114
Decrease in Sediment and Water Quality,french-115
Degradation of Habitat,french-116
Drowning or Starvation,french-117
Increase in Sediment in Runoff,french-118
Plant SAR,french-119
Direct Destruction of Plants,french-120
Blocking Stomata,french-121
Changes in Soil and Water Quality,french-122
Change in Species Composition and Structure,french-123
Chlorosis,french-124
Absorption of Constituents of Potential Concern (COPCs),french-125
Change in Subsurface Flow,french-126
Increase in Desiccation or Inundation,french-127
Change in Availability of Nutrients,french-128
Uptake of Constituents of Potential Concern (COPCs),french-129
Acute and Sublethal Effects to Plants,french-130
Submergence and Waterlogging,french-131
Wetlands,french-132
Change in Vegetation Composition,french-133
Change in Light and Moisture Regimes,french-134
Change in Wetland Arrangement and Available Habitat,french-135
Change in Terrain and Soil,french-136
Change in Slopes and Shorelines,french-137
Change in Land Drainage Patterns,french-138
Change in Habitat Structure and Composition,french-139
Bank and Slope Instability and Exposed Soils,french-140
Increase in Erosion,french-141
Deposit of Contaminants and Sediment,french-142
Change in Water Temperature,french-143
Decrease in Primary Productivity,french-144
Decrease in Habitat Availability for Wildlife,french-145
Change in Organic Structure and Nutrient Concentration,french-146
Change in Flows and Water Levels,french-147
Decrease in Subsurface Flows,french-148
Change in Wetland Quality,french-149
Increase in Invasive and Non-native Species,french-150
Wetland Abundance and Distrubtion,french-151
Wetland Quality and Function,french-152
Thermal Loading,french-153
Nutrient Loading,french-154
Increase in Algae Biomass,french-155
Increase in Sedimentation and Constituents of Potential Concern (COPCs),french-156
Decrease in Dissolved Oxygen,french-157
Change in Water Quality,french-158
Change in Upland Soil Quality,french-159
Lethal and Sublethal Effects to Wetland Species,french-160
Land and Vegetation clearing and vegetation maintenance,french-161
"Excavation and grading (e.g. site preparation, borrow pits, water management ponds,  diversion or drainage channels)",french-162
"Blasting (e.g. in quarries, for line of site along roads, for mining operations) and Rock Crushing",french-163
"Linear right of way(s)   (e.g. transmission/distribution lines, pipelines, terrestrial seismic lines/mining exploration, roads)",french-164
Aircraft overflights / runway activity,french-165
"Drilling, Pile Driving and Fracking",french-166
Shoreline / Bank stabilization,french-167
"Supporting infrastructure (e.g. access and site roads, airstrip, camp, offices, transmission infrastructure, oil rigs, offshore platforms, offshore wind infrastructure, pipelines, transmission lines) and site traffic.",french-168
"Power generation (e.g. hydroelectric dams, coal, wind turbines, solar, nuclear, natural gas, hydrogen production)",french-169
"Processing and refining operations (e.g. oil, natural gas, ore, sawmills/pulp and paper mills, hydrogen production, carbon sequestration)",french-170
"Accidents and malfunctions (e.g., chemical / fuel/ oil / wastewater spills, failure in water management structures, seepage of tailings ponds, fire/explosions)",french-171
Cleaning and maintenance of structures and equipment,french-172
Handling and storage of waste rock and tailings,french-173
"Water management and effluent treatment (e.g. process water, sewage, water management ponds, above ground pipelines)",french-174
"Non-organic waste management (e.g. garbage from workers, construction waste)",french-175
"Organic waste management (e.g. food waste, vegetation clearing debris/mulch) and non-hazardous waste incineration",french-176
"Site isolation (e.g. cofferdams, sediment curtains, silt fence)",french-177
Water extraction,french-178
"Water Impoundment (e.g. dams, creation of reservoirs or water management ponds) and flooding",french-179
"Water drainage infrastructure (e.g. flood diversion infrastructure, drainage ditches)",french-180
Removal of aquatic and/or riparian zone vegetation,french-181
Use of underwater explosives (i.e. blasting) and marine seismic surveys,french-182
"Placement or moving/removal of material or structures in water (e.g. dredging, pile driving, underwater pipeline installation, mooring lines)",french-183
"Linear right of way(s)  (e.g. transmission/distribution lines, pipelines, terrestrial seismic lines/mining exploration, roads)",french-184
"Accidents and malfunctions (e.g., chemical / fuel/ oil / wastwater spills, failure in water management structures, seepage of tailings ponds, fire/explosions)",french-185
Ice management at docks and ice breaking,french-186
Vessels / shipping,french-187
"Supporting infrastructure (e.g. access and site roads, airstrip, camp, offices, transmission infrastructure, oil rigs, offshore platforms, offshore wind infrastructure, pipelines, transmission lines) and site traffic.",french-188
